,ground CCSDE,1A1 (4s),2A1 (3pz),3A1 (3s),4A1 (3d),5A1 (3pz),1A2 (3d),2A2 (4d),1B1 (5px),2B1 (3px),3B1 (3d),4B1 (4px),5B1 (4d), 1B1 (2py),2B2 (3py),3B2 (3d),4B2 (4py),5B2 (4d)
2.67,-3.360561776,-3.026322225,-3.006136273,-2.958993274,-2.957086148,-2.947943001,-2.956364052,-2.904911677,-3.026798404,-2.957657227,-2.956934635,-2.925848567,-2.895358967,-3.026798404,-2.957657227,-2.956934635,-2.925848567,-2.895358967
2.68,-3.360576939,-3.026305091,-3.006280945,-2.95896392,-2.957066899,-2.947953999,-2.956344451,-2.904850888,-3.026771399,-2.95763363,-2.95691209,-2.925841085,-2.895163992,-3.026771399,-2.95763363,-2.95691209,-2.925841085,-2.895163992
2.69,-3.360591601,-3.026288379,-3.006426076,-2.95893487,-2.957048097,-2.947965278,-2.956325301,-2.904790422,-3.026744954,-2.957610517,-2.95689,-2.92583401,-2.894969396,-3.026744954,-2.957610517,-2.95689,-2.92583401,-2.894969396
2.7,-3.360605778,-3.026272078,-3.006571619,-2.958906115,-2.957029727,-2.947976817,-2.956306589,-2.904730267,-3.026719052,-2.957587874,-2.956868352,-2.925827325,-2.89477519,-3.026719052,-2.957587874,-2.956868352,-2.925827325,-2.89477519
2.71,-3.360619485,-3.026256174,-3.006717527,-2.958877645,-2.957011778,-2.947988598,-2.956288302,-2.904670409,-3.026693683,-2.957565688,-2.956847137,-2.925821017,-2.894581382,-3.026693683,-2.957565688,-2.956847137,-2.925821017,-2.894581382
2.72,-3.360632738,-3.026240658,-3.006863753,-2.958849451,-2.956994238,-2.948000599,-2.956270429,-2.904610837,-3.026668832,-2.957543946,-2.956826341,-2.925815072,-2.894387985,-3.026668832,-2.957543946,-2.956826341,-2.925815072,-2.894387985
2.73,-3.360645551,-3.026225517,-3.007010253,-2.958821524,-2.956977096,-2.948012803,-2.956252959,-2.90455154,-3.026644488,-2.957522636,-2.956805955,-2.925809475,-2.89419501,-3.026644488,-2.957522636,-2.956805955,-2.925809475,-2.89419501
2.74,-3.360657939,-3.026210741,-3.007156982,-2.958793857,-2.956960341,-2.948025193,-2.956235882,-2.904492505,-3.026620637,-2.957501745,-2.956785967,-2.925804214,-2.894002469,-3.026620637,-2.957501745,-2.956785967,-2.925804214,-2.894002469
2.75,-3.360669916,-3.026196319,-3.007303897,-2.958766442,-2.956943962,-2.94803775,-2.956219186,-2.904433724,-3.026597262,-2.957481261,-2.956766367,-2.925799275,-2.893810378,-3.026597262,-2.957481261,-2.956766367,-2.925799275,-2.893810378
2.76,-3.360681495,-3.026182243,-3.007450957,-2.958739271,-2.956927949,-2.948050459,-2.956202861,-2.904375184,-3.026574365,-2.957461174,-2.956747146,-2.925794647,-2.893618752,-3.026574365,-2.957461174,-2.956747146,-2.925794647,-2.893618752
